municipality,year,sex,age_group,population,education_level,unemployment_rate,employment_rate
Kommun_245,2018,Male,20-24,1491,Medium,15,81.8
Kommun_245,2019,Female,16-19,1423,High,4.1,91.9
Kommun_245,2019,Female,20-24,1468,Medium,20.7,79.2
Kommun_245,2019,Male,16-19,1446,High,11,86.7
Kommun_245,2019,Male,20-24,1590,Medium,13.3,85.4
Kommun_245,2020,Female,16-19,1441,High,13,80.5
Kommun_245,2020,Female,20-24,1421,Medium,13.4,81.8
Kommun_245,2020,Male,16-19,1475,Medium,16,80.7
Kommun_245,2020,Male,20-24,1507,Medium,10,85.9
Kommun_245,2021,Female,16-19,1514,High,3.3,91.1
Kommun_245,2021,Female,20-24,1425,Medium,14.1,79.5
Kommun_245,2021,Male,16-19,1491,Low,17.8,75.4
Kommun_245,2021,Male,20-24,1564,Medium,16.6,80.1
Kommun_245,2022,Female,16-19,1423,Low,19.9,77.7
Kommun_245,2022,Female,20-24,1605,High,11.4,84.5
Kommun_245,2022,Male,16-19,1509,Low,21.5,76.3
Kommun_245,2022,Male,20-24,1521,High,9.4,86
Kommun_245,2023,Female,16-19,1485,Medium,11.9,82.1
Kommun_245,2023,Female,20-24,1448,Low,12.7,83.5
Kommun_245,2023,Male,16-19,1508,Low,22.1,72.8
Kommun_245,2023,Male,20-24,1511,Medium,7.6,86
Kommun_246,2018,Female,16-19,1518,Low,14,82.4
Kommun_246,2018,Female,20-24,1505,Medium,15.7,81
Kommun_246,2018,Male,16-19,1617,Low,24.1,73.7
Kommun_246,2018,Male,20-24,1554,Low,19.3,75.8
Kommun_246,2019,Female,16-19,1460,Low,23.3,72
Kommun_246,2019,Female,20-24,1555,Medium,17,77.4
Kommun_246,2019,Male,16-19,1483,Low,18,77.3
Kommun_246,2019,Male,20-24,1459,Medium,7.9,88.1
Kommun_246,2020,Female,16-19,1514,Medium,12.4,81.8
Kommun_246,2020,Female,20-24,1429,Medium,9.3,84.3
Kommun_246,2020,Male,16-19,1490,Medium,12,80.2
Kommun_246,2020,Male,20-24,1529,Medium,15.5,83.9
Kommun_246,2021,Female,16-19,1516,Medium,11,85.6
Kommun_246,2021,Female,20-24,1489,Medium,15.9,81.7
Kommun_246,2021,Male,16-19,1524,Low,14.5,76.8
Kommun_246,2021,Male,20-24,1491,Low,19.4,74.2
Kommun_246,2022,Female,16-19,1469,Low,19,76.4
Kommun_246,2022,Female,20-24,1562,High,10.7,82.7
Kommun_246,2022,Male,16-19,1501,Medium,7.6,86
Kommun_246,2022,Male,20-24,1483,Medium,16.5,79.2
Kommun_246,2023,Female,16-19,1557,Medium,10,81.9
Kommun_246,2023,Female,20-24,1506,Medium,9.8,83.4
Kommun_246,2023,Male,16-19,1471,Low,16.9,76.4
Kommun_246,2023,Male,20-24,1522,Medium,13,85.5
Kommun_247,2018,Female,16-19,1619,Medium,5.9,87.4
Kommun_247,2018,Female,20-24,1444,Medium,13.1,81.5
Kommun_247,2018,Male,16-19,1563,Medium,12.2,80.5
Kommun_247,2018,Male,20-24,1464,Low,15.9,81.6
Kommun_247,2019,Female,16-19,1507,Low,17.7,79.5
Kommun_247,2019,Female,20-24,1543,Low,15.5,81.7
Kommun_247,2019,Male,16-19,1506,Medium,6.8,92
Kommun_247,2019,Male,20-24,1508,High,5.1,91.2
Kommun_247,2020,Female,16-19,1592,Low,19.9,71.8
Kommun_247,2020,Female,20-24,1487,Medium,8.9,89.2
Kommun_247,2020,Male,16-19,1558,High,9.9,83.4
Kommun_247,2020,Male,20-24,1541,High,3.5,88
Kommun_247,2021,Female,16-19,1495,Medium,12.9,79.5
Kommun_247,2021,Female,20-24,1472,Medium,10.8,85.8
Kommun_247,2021,Male,16-19,1608,Low,15.3,80.6
Kommun_247,2021,Male,20-24,1460,High,5.7,86.8
Kommun_247,2022,Female,16-19,1516,Low,12,83.4
Kommun_247,2022,Female,20-24,1481,Low,18.8,79.5
Kommun_247,2022,Male,16-19,1498,High,7.7,89.8
Kommun_247,2022,Male,20-24,1519,Low,19.2,78
Kommun_247,2023,Female,16-19,1498,Medium,10.7,88.6
Kommun_247,2023,Female,20-24,1427,Low,13.1,81.2
Kommun_247,2023,Male,16-19,1511,Low,17.8,79.8
Kommun_247,2023,Male,20-24,1571,Medium,11.9,83.9
Kommun_248,2018,Female,16-19,1531,Medium,11,86.2
Kommun_248,2018,Female,20-24,1486,Medium,12.4,83.9
Kommun_248,2018,Male,16-19,1566,Medium,9.4,89.1
Kommun_248,2018,Male,20-24,1471,High,8.5,84.2
Kommun_248,2019,Female,16-19,1472,High,10.2,87.6
Kommun_248,2019,Female,20-24,1478,Medium,11.4,81.5
Kommun_248,2019,Male,16-19,1512,Low,12.4,82.2
Kommun_248,2019,Male,20-24,1486,Medium,7.8,85
Kommun_248,2020,Female,16-19,1499,Medium,9.4,85
Kommun_248,2020,Female,20-24,1487,Medium,9.3,86.8
Kommun_248,2020,Male,16-19,1456,High,5.3,91.2
Kommun_248,2020,Male,20-24,1472,Low,15.5,74.5
Kommun_248,2021,Female,16-19,1509,High,10.7,85.7
Kommun_248,2021,Female,20-24,1487,Medium,14.3,81.4
Kommun_248,2021,Male,16-19,1507,Medium,13.4,81
Kommun_248,2021,Male,20-24,1552,High,10.7,85.2
Kommun_248,2022,Female,16-19,1572,Low,17.9,77.6
Kommun_248,2022,Female,20-24,1479,Medium,16.5,78.3
Kommun_248,2022,Male,16-19,1572,Low,16.4,79.1
Kommun_248,2022,Male,20-24,1500,Low,18.1,76.5
Kommun_248,2023,Female,16-19,1429,Medium,15.7,81.7
Kommun_248,2023,Female,20-24,1552,Medium,13.5,80.6
Kommun_248,2023,Male,16-19,1503,Medium,13.2,80.8
Kommun_248,2023,Male,20-24,1539,Medium,11.3,82.3
Kommun_249,2018,Female,16-19,1495,Low,15.1,81
Kommun_249,2018,Female,20-24,1450,Low,15.5,78.3
Kommun_249,2018,Male,16-19,1544,Low,15.1,78.8
Kommun_249,2018,Male,20-24,1519,Medium,13.2,79.9
Kommun_249,2019,Female,16-19,1458,Low,17.1,78.8
Kommun_249,2019,Female,20-24,1463,High,7.7,86
Kommun_249,2019,Male,16-19,1531,Medium,8.1,85
Kommun_249,2019,Male,20-24,1545,High,5.2,90.4
Kommun_249,2020,Female,16-19,1456,Low,20.8,72.9
Kommun_249,2020,Female,20-24,1456,Medium,7.5,91.8
Kommun_249,2020,Male,16-19,1509,High,14.1,81.8
Kommun_249,2020,Male,20-24,1550,Medium,12.6,79.4
Kommun_249,2021,Female,16-19,1472,Medium,13.4,81.4
Kommun_249,2021,Female,20-24,1488,Medium,15.1,78.2
Kommun_249,2021,Male,16-19,1490,High,5.6,90.4
Kommun_249,2021,Male,20-24,1553,Medium,7,89.5
Kommun_249,2022,Female,16-19,1556,High,4.6,87
Kommun_249,2022,Female,20-24,1544,High,7.1,84.3
Kommun_249,2022,Male,16-19,1571,Low,13.3,81.7
Kommun_249,2022,Male,20-24,1447,High,7.1,89.5
Kommun_249,2023,Female,16-19,1534,Medium,13.7,83.5
Kommun_249,2023,Female,20-24,1449,Medium,11.8,82.5
Kommun_249,2023,Male,16-19,1497,Low,16.6,78.5
Kommun_249,2023,Male,20-24,1498,Low,24,72.9
Kommun_25,2018,Female,16-19,1531,High,5.9,86.3
Kommun_25,2018,Female,20-24,1529,Medium,11.3,81.1
Kommun_25,2018,Male,16-19,1524,Medium,16.1,80.8
Kommun_25,2018,Male,20-24,1475,Medium,10.7,82.7
Kommun_25,2019,Female,16-19,1433,High,3,89.7
Kommun_25,2019,Female,20-24,1431,Low,17.3,79.8
Kommun_25,2019,Male,16-19,1545,Low,24.5,70.9
Kommun_25,2019,Male,20-24,1509,Medium,12.3,85.7
Kommun_25,2020,Female,16-19,1494,High,9.3,85.6
Kommun_25,2020,Female,20-24,1466,Medium,16,80.8
Kommun_25,2020,Male,16-19,1527,High,4.8,90.1
Kommun_25,2020,Male,20-24,1489,Low,22.8,71.7
Kommun_25,2021,Female,16-19,1489,High,5.7,89.6
Kommun_25,2021,Female,20-24,1440,Medium,17,78.3
Kommun_25,2021,Male,16-19,1524,Medium,9.7,86.7
Kommun_25,2021,Male,20-24,1518,Low,19.6,79.2
Kommun_25,2022,Female,16-19,1489,Low,18.9,75.1
Kommun_25,2022,Female,20-24,1542,Medium,12.5,82.3
Kommun_25,2022,Male,16-19,1532,High,17.4,76.6
Kommun_25,2022,Male,20-24,1446,Medium,12.1,82.4
Kommun_25,2023,Female,16-19,1547,Low,14.2,84.1
Kommun_25,2023,Female,20-24,1559,Low,20.9,74
Kommun_25,2023,Male,16-19,1421,Low,19.7,74.6
Kommun_25,2023,Male,20-24,1487,Medium,5.2,90.1
Kommun_250,2018,Female,16-19,1465,Low,19.8,73.9
Kommun_250,2018,Female,20-24,1460,High,3,92.3
Kommun_250,2018,Male,16-19,1460,Low,19.7,77.9
Kommun_250,2018,Male,20-24,1497,Low,21.6,73.1
Kommun_250,2019,Female,16-19,1475,Medium,14,82.6
Kommun_250,2019,Female,20-24,1439,High,12.4,82.1
Kommun_250,2019,Male,16-19,1531,High,3.9,91.5
Kommun_250,2019,Male,20-24,1468,Medium,11.6,82.2
Kommun_250,2020,Female,16-19,1539,Medium,10.8,83.3
Kommun_250,2020,Female,20-24,1523,Low,16.2,78.8
Kommun_250,2020,Male,16-19,1500,High,8.1,85.2
Kommun_250,2020,Male,20-24,1532,High,6.2,88.4
Kommun_250,2021,Female,16-19,1504,Medium,13.4,77.6
Kommun_250,2021,Female,20-24,1449,Low,18.3,77.8
Kommun_250,2021,Male,16-19,1477,High,9.5,87.2
Kommun_250,2021,Male,20-24,1491,Medium,9.3,84.7
Kommun_250,2022,Female,16-19,1518,High,3.5,91
Kommun_250,2022,Female,20-24,1502,High,11.3,85.9
Kommun_250,2022,Male,16-19,1472,Low,20.2,74.9
Kommun_250,2022,Male,20-24,1501,Low,15.9,78.2
Kommun_250,2023,Female,16-19,1486,Low,13.6,82.7
Kommun_250,2023,Female,20-24,1455,Low,19,78.5
Kommun_250,2023,Male,16-19,1498,Medium,13.7,83.4
Kommun_250,2023,Male,20-24,1449,Low,17.8,77
Kommun_251,2018,Female,16-19,1527,Low,20.9,71
Kommun_251,2018,Female,20-24,1549,Low,21.4,78.3
Kommun_251,2018,Male,16-19,1486,Medium,12.7,80.1
Kommun_251,2018,Male,20-24,1506,Low,18.9,76.4
Kommun_251,2019,Female,16-19,1496,High,6.3,87.5
Kommun_251,2019,Female,20-24,1516,Medium,11.4,85.4
Kommun_251,2019,Male,16-19,1485,Low,14.3,81.5
Kommun_251,2019,Male,20-24,1486,High,3,92.2
Kommun_251,2020,Female,16-19,1536,Low,13.7,77.3
Kommun_251,2020,Female,20-24,1505,High,8.7,87.5
Kommun_251,2020,Male,16-19,1512,High,10.5,86.2
Kommun_251,2020,Male,20-24,1523,Medium,17,81.3
Kommun_251,2021,Female,16-19,1584,Low,19.4,73.2
Kommun_251,2021,Female,20-24,1499,Low,18.2,77.6
Kommun_251,2021,Male,16-19,1530,Medium,7.5,90.1
Kommun_251,2021,Male,20-24,1475,Low,16,80.9
Kommun_251,2022,Female,16-19,1475,Low,18.5,79.5
Kommun_251,2022,Female,20-24,1510,Low,14.2,81.1
Kommun_251,2022,Male,16-19,1478,Low,19.1,75
Kommun_251,2022,Male,20-24,1477,Low,16.6,75.8
Kommun_251,2023,Female,16-19,1540,Medium,20.2,74.4
Kommun_251,2023,Female,20-24,1477,High,15.1,82.5
Kommun_251,2023,Male,16-19,1503,High,10.8,82.8
Kommun_251,2023,Male,20-24,1561,Medium,13.6,81.5
Kommun_252,2018,Female,16-19,1474,Low,17,77.6
Kommun_252,2018,Female,20-24,1502,Low,18.7,77.1
Kommun_252,2018,Male,16-19,1402,Medium,15.8,79
Kommun_252,2018,Male,20-24,1444,Medium,16.8,77.2
Kommun_252,2019,Female,16-19,1461,High,6.8,84.4
Kommun_252,2019,Female,20-24,1514,High,5.4,89.3
Kommun_252,2019,Male,16-19,1434,Low,15.4,80.3
Kommun_252,2019,Male,20-24,1400,Medium,10.7,82.1
Kommun_252,2020,Female,16-19,1540,High,5.2,93
Kommun_252,2020,Female,20-24,1503,Low,21.1,75.2
Kommun_252,2020,Male,16-19,1520,Medium,6.4,90.3
Kommun_252,2020,Male,20-24,1490,Medium,14.3,78.5
Kommun_252,2021,Female,16-19,1562,High,3,89.7
Kommun_252,2021,Female,20-24,1532,High,11.6,83.1
Kommun_252,2021,Male,16-19,1457,High,9,82.7
Kommun_252,2021,Male,20-24,1496,Low,20.1,75.1
Kommun_252,2022,Female,16-19,1433,Low,14.8,82
Kommun_252,2022,Female,20-24,1510,Medium,9.9,86.2
Kommun_252,2022,Male,16-19,1504,Low,19.1,74.5
Kommun_252,2022,Male,20-24,1570,Low,24.9,70.6
Kommun_252,2023,Female,16-19,1485,Medium,13.5,80.1
Kommun_252,2023,Female,20-24,1488,Low,21.9,73.1
Kommun_252,2023,Male,16-19,1517,Medium,11,85.1
Kommun_252,2023,Male,20-24,1482,Low,18.5,75.4
Kommun_253,2018,Female,16-19,1488,Low,19.2,73.5
Kommun_253,2018,Female,20-24,1481,Low,11.6,84.8
Kommun_253,2018,Male,16-19,1505,Medium,12.3,88.1
Kommun_253,2018,Male,20-24,1530,Medium,8.6,88.4
Kommun_253,2019,Female,16-19,1516,Medium,7.3,87.2
Kommun_253,2019,Female,20-24,1421,Low,18.9,77.8
Kommun_253,2019,Male,16-19,1531,Medium,10.4,85.7
Kommun_253,2019,Male,20-24,1493,Low,17.9,82
Kommun_253,2020,Female,16-19,1497,Low,21.8,71
Kommun_253,2020,Female,20-24,1496,High,6.6,89
Kommun_253,2020,Male,16-19,1515,Medium,9.3,82.8
Kommun_253,2020,Male,20-24,1567,Low,18.4,74.9
Kommun_253,2021,Female,16-19,1574,Medium,18.5,77.8
Kommun_253,2021,Female,20-24,1462,High,11.2,84.9
Kommun_253,2021,Male,16-19,1510,Low,18.5,73.4
Kommun_253,2021,Male,20-24,1513,Medium,14.5,80.6
Kommun_253,2022,Female,16-19,1450,High,5.5,88
Kommun_253,2022,Female,20-24,1489,Low,14.5,75.9
Kommun_253,2022,Male,16-19,1433,High,8.2,83.6
Kommun_253,2022,Male,20-24,1494,Medium,13.7,78
Kommun_253,2023,Female,16-19,1492,Low,17.9,76.8
Kommun_253,2023,Female,20-24,1473,Medium,21.6,77.1
Kommun_253,2023,Male,16-19,1504,Medium,8.6,83.6
Kommun_253,2023,Male,20-24,1482,Medium,11.9,82.4
Kommun_254,2018,Female,16-19,1483,Medium,13.2,80.4
Kommun_254,2018,Female,20-24,1438,Medium,7.2,88.3
Kommun_254,2018,Male,16-19,1524,Low,18.3,76.1
Kommun_254,2018,Male,20-24,1540,Medium,16,78.1
Kommun_254,2019,Female,16-19,1550,Medium,14.5,75.5
Kommun_254,2019,Female,20-24,1529,Medium,14.6,80.8
Kommun_254,2019,Male,16-19,1503,Low,18.8,77.9
Kommun_254,2019,Male,20-24,1464,Low,20.8,73.9
Kommun_254,2020,Female,16-19,1478,Medium,16.1,80.6
Kommun_254,2020,Female,20-24,1526,Low,18,78
Kommun_254,2020,Male,16-19,1448,Medium,10.1,83.7
Kommun_254,2020,Male,20-24,1506,Medium,11.4,80.7
Kommun_254,2021,Female,16-19,1522,Medium,14.3,79.9
Kommun_254,2021,Female,20-24,1500,Low,16.4,79.9
Kommun_254,2021,Male,16-19,1457,Medium,9.5,85
Kommun_254,2021,Male,20-24,1447,Low,17.3,77.9
Kommun_254,2022,Female,16-19,1444,Low,23.4,74
Kommun_254,2022,Female,20-24,1460,Medium,15.4,78.6
Kommun_254,2022,Male,16-19,1478,Low,18.1,74.3
Kommun_254,2022,Male,20-24,1509,Medium,14.6,79.5
Kommun_254,2023,Female,16-19,1462,High,8.3,87.7
Kommun_254,2023,Female,20-24,1508,Low,23.2,72.5
Kommun_254,2023,Male,16-19,1578,Medium,8.4,85.4
Kommun_254,2023,Male,20-24,1578,Medium,10.4,82.9
Kommun_255,2018,Female,16-19,1500,High,6.1,87.2
Kommun_255,2018,Female,20-24,1441,Low,23.2,74.4
Kommun_255,2018,Male,16-19,1513,Low,14.7,77.6
Kommun_255,2018,Male,20-24,1463,Medium,13.7,81.4
Kommun_255,2019,Female,16-19,1461,Low,23.1,72
Kommun_255,2019,Female,20-24,1462,Medium,15,81.6
Kommun_255,2019,Male,16-19,1526,Medium,8.5,90.7
Kommun_255,2019,Male,20-24,1475,Medium,9.3,86.5
Kommun_255,2020,Female,16-19,1516,Low,21.5,74.4
Kommun_255,2020,Female,20-24,1498,Medium,14,82
Kommun_255,2020,Male,16-19,1522,Low,18.4,77.2
Kommun_255,2020,Male,20-24,1479,High,3,93.2
Kommun_255,2021,Female,16-19,1486,Low,20.8,74.9
Kommun_255,2021,Female,20-24,1537,Low,20.2,77.6
Kommun_255,2021,Male,16-19,1545,Medium,17.5,76.2
Kommun_255,2021,Male,20-24,1491,Medium,10.2,85.3
Kommun_255,2022,Female,16-19,1543,High,8.6,88.3
Kommun_255,2022,Female,20-24,1525,Low,22.7,73.7
Kommun_255,2022,Male,16-19,1551,Medium,10.8,83.9
Kommun_255,2022,Male,20-24,1488,Low,20.8,77
Kommun_255,2023,Female,16-19,1599,Medium,15.3,81.8
Kommun_255,2023,Female,20-24,1504,High,10,85
Kommun_255,2023,Male,16-19,1541,Medium,17.1,76.7
Kommun_255,2023,Male,20-24,1524,Low,13.4,83
Kommun_256,2018,Female,16-19,1543,High,10.3,84.9
Kommun_256,2018,Female,20-24,1522,High,7.8,84.8
Kommun_256,2018,Male,16-19,1539,High,6.5,87.3
Kommun_256,2018,Male,20-24,1481,Medium,7.2,88.5
Kommun_256,2019,Female,16-19,1511,Medium,15.5,76.9
Kommun_256,2019,Female,20-24,1507,High,8.9,85
Kommun_256,2019,Male,16-19,1491,Low,20.6,76.9
Kommun_256,2019,Male,20-24,1494,Low,13.5,82.3
Kommun_256,2020,Female,16-19,1443,Medium,12.9,82.2
Kommun_256,2020,Female,20-24,1472,Medium,14.9,81.6
Kommun_256,2020,Male,16-19,1518,Low,23.9,69.4
Kommun_256,2020,Male,20-24,1544,Low,14.6,83.7
Kommun_256,2021,Female,16-19,1554,Medium,5.2,87.2
Kommun_256,2021,Female,20-24,1485,Medium,13.4,82.5
Kommun_256,2021,Male,16-19,1462,Medium,12.3,82.9
Kommun_256,2021,Male,20-24,1556,Low,18.1,79.9
Kommun_256,2022,Female,16-19,1514,Low,22.4,73.5
Kommun_256,2022,Female,20-24,1562,Medium,10,83.3
Kommun_256,2022,Male,16-19,1466,Medium,12.4,85.4
Kommun_256,2022,Male,20-24,1500,Low,22.9,71.2
Kommun_256,2023,Female,16-19,1489,Low,16.8,78.1
Kommun_256,2023,Female,20-24,1544,Medium,9.1,82
Kommun_256,2023,Male,16-19,1527,High,11.8,86.2
Kommun_256,2023,Male,20-24,1542,Medium,14.2,78.5
Kommun_257,2018,Female,16-19,1527,Medium,16.3,78.5
Kommun_257,2018,Female,20-24,1532,Medium,11.7,82.7
Kommun_257,2018,Male,16-19,1527,High,4.5,87.9
Kommun_257,2018,Male,20-24,1588,Low,20.4,77.9
Kommun_257,2019,Female,16-19,1502,Medium,14.2,82.5
Kommun_257,2019,Female,20-24,1510,High,7.8,83.6
Kommun_257,2019,Male,16-19,1496,Medium,8.6,86.5
Kommun_257,2019,Male,20-24,1528,Medium,10.9,81.6
Kommun_257,2020,Female,16-19,1452,High,8.3,86
Kommun_257,2020,Female,20-24,1422,High,4.9,90.7
Kommun_257,2020,Male,16-19,1464,High,7.9,90.2
Kommun_257,2020,Male,20-24,1549,Low,18.3,75.6
Kommun_257,2021,Female,16-19,1509,High,3,87
Kommun_257,2021,Female,20-24,1444,High,9.6,85.8
Kommun_257,2021,Male,16-19,1523,High,9.1,87.7
Kommun_257,2021,Male,20-24,1496,Low,19.1,73.9
Kommun_257,2022,Female,16-19,1614,Medium,10.3,81.8
Kommun_257,2022,Female,20-24,1423,High,6.7,88.1
Kommun_257,2022,Male,16-19,1542,Low,26.1,69.5
Kommun_257,2022,Male,20-24,1476,Medium,8.7,86.5
Kommun_257,2023,Female,16-19,1511,Medium,7.4,88.3
Kommun_257,2023,Female,20-24,1558,Medium,13,83.9
Kommun_257,2023,Male,16-19,1526,Medium,15.7,82.9
Kommun_257,2023,Male,20-24,1541,Low,21.9,71.3
Kommun_258,2018,Female,16-19,1504,Medium,10.8,84.1
Kommun_258,2018,Female,20-24,1485,Medium,12.4,81.4
Kommun_258,2018,Male,16-19,1470,Low,15.7,80.5
Kommun_258,2018,Male,20-24,1451,Low,15.4,81.9
Kommun_258,2019,Female,16-19,1569,Medium,16.7,81.5
Kommun_258,2019,Female,20-24,1463,Medium,9.3,85.3
Kommun_258,2019,Male,16-19,1517,Medium,11.4,86.1
Kommun_258,2019,Male,20-24,1537,Low,19.7,73.4
Kommun_258,2020,Female,16-19,1531,Medium,9.8,89.3
Kommun_258,2020,Female,20-24,1522,Low,16.9,77.3
Kommun_258,2020,Male,16-19,1537,Low,16.2,78.7
Kommun_258,2020,Male,20-24,1485,High,10.2,83.5
Kommun_258,2021,Female,16-19,1519,Medium,15,82.9
Kommun_258,2021,Female,20-24,1519,Low,16.9,72.8
Kommun_258,2021,Male,16-19,1575,Medium,12.3,82.9
Kommun_258,2021,Male,20-24,1515,Low,17.1,76.7
Kommun_258,2022,Female,16-19,1477,Low,14.5,80.4
Kommun_258,2022,Female,20-24,1513,Medium,7.4,86.6
Kommun_258,2022,Male,16-19,1512,High,6.9,88.9
Kommun_258,2022,Male,20-24,1509,Low,20.1,73.7
Kommun_258,2023,Female,16-19,1513,Low,14,84.9
Kommun_258,2023,Female,20-24,1500,Medium,11.8,84.1
Kommun_258,2023,Male,16-19,1448,Medium,8.2,83.6
Kommun_258,2023,Male,20-24,1545,High,5.8,88
Kommun_259,2018,Female,16-19,1512,Medium,14.5,82.2
Kommun_259,2018,Female,20-24,1461,Medium,10.8,87.2
Kommun_259,2018,Male,16-19,1453,Medium,12.1,84.3
Kommun_259,2018,Male,20-24,1422,Medium,13,79.9
Kommun_259,2019,Female,16-19,1594,Medium,12.6,81.5
Kommun_259,2019,Female,20-24,1532,High,12.9,83.6
Kommun_259,2019,Male,16-19,1548,Medium,14.3,84
Kommun_259,2019,Male,20-24,1464,High,3,93.1
Kommun_259,2020,Female,16-19,1489,Low,23.2,71.5
Kommun_259,2020,Female,20-24,1526,Low,18.2,76.1
Kommun_259,2020,Male,16-19,1502,High,11.6,83.5
Kommun_259,2020,Male,20-24,1492,High,10.3,83.5
Kommun_259,2021,Female,16-19,1556,Medium,13.9,82.5
Kommun_259,2021,Female,20-24,1499,High,10.3,87.6
Kommun_259,2021,Male,16-19,1551,Medium,13.2,82.4
Kommun_259,2021,Male,20-24,1545,Low,19.9,74.4
Kommun_259,2022,Female,16-19,1595,Low,18.4,76.5
Kommun_259,2022,Female,20-24,1466,Medium,15.5,79.6
Kommun_259,2022,Male,16-19,1536,Low,14.7,79.7
Kommun_259,2022,Male,20-24,1466,Medium,10.7,83.9
Kommun_259,2023,Female,16-19,1469,High,9.1,85.3
Kommun_259,2023,Female,20-24,1545,Medium,13.3,81.4
Kommun_259,2023,Male,16-19,1463,Medium,17.3,77.6
Kommun_259,2023,Male,20-24,1518,Low,21.4,74.7
Kommun_26,2018,Female,16-19,1585,Low,17.8,74.8
Kommun_26,2018,Female,20-24,1407,Medium,14.8,80.1
Kommun_26,2018,Male,16-19,1488,Medium,18,73
Kommun_26,2018,Male,20-24,1483,High,6.5,86.7
Kommun_26,2019,Female,16-19,1457,Medium,11,84.8
Kommun_26,2019,Female,20-24,1465,Medium,12,82.1
Kommun_26,2019,Male,16-19,1415,Medium,17.5,78.3
Kommun_26,2019,Male,20-24,1566,Medium,14.6,79.1
Kommun_26,2020,Female,16-19,1429,Medium,7.7,89.1
Kommun_26,2020,Female,20-24,1531,Low,19.9,75.7
Kommun_26,2020,Male,16-19,1402,High,4,93.3
Kommun_26,2020,Male,20-24,1446,Medium,10.9,83.8
Kommun_26,2021,Female,16-19,1463,Low,18.6,73
Kommun_26,2021,Female,20-24,1530,High,12.6,84.5
Kommun_26,2021,Male,16-19,1485,Low,17.3,80.6
Kommun_26,2021,Male,20-24,1551,Medium,6.3,88.4
Kommun_26,2022,Female,16-19,1436,Low,13.7,79.7
Kommun_26,2022,Female,20-24,1520,Medium,9.5,88.1
Kommun_26,2022,Male,16-19,1430,Medium,10.5,88.1
Kommun_26,2022,Male,20-24,1463,Medium,9.1,86.2
Kommun_26,2023,Female,16-19,1527,Low,18.2,78.2
Kommun_26,2023,Female,20-24,1475,High,5.9,88.8
Kommun_26,2023,Male,16-19,1526,Medium,11.4,83.3
Kommun_26,2023,Male,20-24,1511,Medium,4.4,92.4
Kommun_260,2018,Female,16-19,1532,Low,17.6,78.6
Kommun_260,2018,Female,20-24,1449,Low,17.8,79.1
Kommun_260,2018,Male,16-19,1578,Low,22.1,68.5
Kommun_260,2018,Male,20-24,1569,Low,16,78.5
Kommun_260,2019,Female,16-19,1538,Low,13.6,82
Kommun_260,2019,Female,20-24,1438,Low,16.3,75.8
Kommun_260,2019,Male,16-19,1442,Low,16.3,81.4
Kommun_260,2019,Male,20-24,1529,Medium,17.9,77.1
Kommun_260,2020,Female,16-19,1527,Medium,15,73
Kommun_260,2020,Female,20-24,1469,Medium,7.8,86.4
Kommun_260,2020,Male,16-19,1485,Low,19,77.8
Kommun_260,2020,Male,20-24,1546,Low,14.7,79.3
Kommun_260,2021,Female,16-19,1489,Low,23.2,70.1
Kommun_260,2021,Female,20-24,1571,Medium,11.4,86
Kommun_260,2021,Male,16-19,1460,High,6,85.5
Kommun_260,2021,Male,20-24,1541,Low,18.4,78.6
Kommun_260,2022,Female,16-19,1476,Low,14.1,81.6
Kommun_260,2022,Female,20-24,1507,Medium,14.5,78.5
Kommun_260,2022,Male,16-19,1562,Low,13,78.7
Kommun_260,2022,Male,20-24,1528,Low,27.8,69
Kommun_260,2023,Female,16-19,1523,High,10,82.6
Kommun_260,2023,Female,20-24,1589,Medium,18.5,74.2
Kommun_260,2023,Male,16-19,1482,Low,14.9,82.8
Kommun_260,2023,Male,20-24,1450,Medium,13.1,79.6
Kommun_261,2018,Female,16-19,1533,Medium,17.5,76.7
Kommun_261,2018,Female,20-24,1507,Medium,6.7,87.4
Kommun_261,2018,Male,16-19,1476,Low,23.1,67.9
Kommun_261,2018,Male,20-24,1491,Low,13.2,84.7
Kommun_261,2019,Female,16-19,1467,Low,18.3,76.1
Kommun_261,2019,Female,20-24,1481,Medium,11.7,84.2
Kommun_261,2019,Male,16-19,1505,Medium,15.4,80.2
Kommun_261,2019,Male,20-24,1468,Medium,12.1,85.2
Kommun_261,2020,Female,16-19,1559,Low,17.7,79.6
Kommun_261,2020,Female,20-24,1449,Low,17,76.7
Kommun_261,2020,Male,16-19,1483,Low,20.5,76
Kommun_261,2020,Male,20-24,1522,Medium,15.6,78.7
Kommun_261,2021,Female,16-19,1547,High,3,90.8
Kommun_261,2021,Female,20-24,1464,Low,14.8,81.7
Kommun_261,2021,Male,16-19,1566,Medium,11.1,83.3
Kommun_261,2021,Male,20-24,1532,High,5.4,90
Kommun_261,2022,Female,16-19,1502,Medium,4.1,89.2
Kommun_261,2022,Female,20-24,1526,Medium,6,83.3
Kommun_261,2022,Male,16-19,1550,Medium,14.7,81.2
Kommun_261,2022,Male,20-24,1538,High,11.8,82.2
Kommun_261,2023,Female,16-19,1472,Medium,10.8,81.6
Kommun_261,2023,Female,20-24,1485,Medium,13.6,79.9
Kommun_261,2023,Male,16-19,1504,Low,19.5,76.2
Kommun_261,2023,Male,20-24,1546,Low,19.8,74.4
